Date,Open,High,Low,Close*,Volume,Stock
"Nov 09, 2020",3.3000,3.5700,3.2000,3.5100,"357,300",CBLI
"Nov 06, 2020",3.2200,3.3000,3.0600,3.2400,"170,900",CBLI
"Nov 05, 2020",3.0500,3.3300,2.9600,3.3300,"355,000",CBLI
"Nov 04, 2020",2.8800,3.0700,2.8800,2.9700,"324,300",CBLI
"Nov 03, 2020",2.6000,2.9100,2.5900,2.8200,"642,200",CBLI
"Nov 02, 2020",2.6300,2.7400,2.4500,2.5400,"251,700",CBLI
"Oct 30, 2020",2.6300,3.2100,2.6000,2.7700,"1,758,300",CBLI
"Oct 29, 2020",2.5000,2.7200,2.4400,2.6800,"172,000",CBLI
"Oct 28, 2020",2.5400,2.5400,2.3800,2.4600,"227,700",CBLI
"Oct 27, 2020",2.5100,2.7700,2.4600,2.7000,"347,900",CBLI
"Oct 26, 2020",2.5600,2.6100,2.4400,2.5300,"361,200",CBLI
"Oct 23, 2020",2.6600,2.7100,2.5000,2.6000,"476,000",CBLI
"Oct 22, 2020",3.0700,3.1600,2.6000,2.6400,"967,500",CBLI
"Oct 21, 2020",2.9700,3.4900,2.8700,3.1600,"3,481,900",CBLI
"Oct 20, 2020",4.5000,5.4300,3.0800,3.1700,"147,802,500",CBLI
"Oct 19, 2020",2.3200,2.5000,2.1500,2.1700,"1,836,900",CBLI
"Oct 16, 2020",2.2000,2.2800,2.1400,2.2800,"128,900",CBLI
"Oct 15, 2020",2.2100,2.2100,2.1400,2.1800,"43,200",CBLI
"Oct 14, 2020",2.1400,2.2100,2.1400,2.2100,"73,700",CBLI
"Oct 13, 2020",2.1300,2.1800,2.1200,2.1800,"42,000",CBLI
"Oct 12, 2020",2.1300,2.2100,2.0900,2.1600,"84,500",CBLI
"Oct 09, 2020",2.1200,2.1300,2.0800,2.1000,"40,500",CBLI
"Oct 08, 2020",2.0900,2.2000,2.0700,2.1200,"41,300",CBLI
"Oct 07, 2020",2.0600,2.1500,2.0600,2.0900,"31,700",CBLI
"Oct 06, 2020",2.1000,2.2000,2.0600,2.0600,"61,800",CBLI
"Oct 05, 2020",2.0400,2.1000,2.0000,2.0600,"101,600",CBLI
"Oct 02, 2020",1.9500,2.0200,1.8600,2.0000,"39,400",CBLI
"Oct 01, 2020",1.9500,2.0200,1.9500,2.0000,"57,100",CBLI
"Sep 30, 2020",1.9700,2.0200,1.9100,1.9700,"36,400",CBLI
"Sep 29, 2020",2.0500,2.0500,1.9500,1.9800,"67,300",CBLI
"Sep 28, 2020",2.0500,2.1000,1.9700,2.0600,"35,600",CBLI
"Sep 25, 2020",1.9000,2.0500,1.8600,2.0200,"168,200",CBLI
"Sep 24, 2020",1.9800,1.9900,1.8500,1.9000,"82,900",CBLI
"Sep 23, 2020",2.0100,2.0500,1.9700,1.9800,"105,600",CBLI
"Sep 22, 2020",2.0700,2.2800,1.9800,2.0700,"600,400",CBLI
"Sep 21, 2020",2.0700,2.1000,2.0500,2.0900,"25,400",CBLI
"Sep 18, 2020",2.0900,2.1600,2.0300,2.1000,"117,600",CBLI
"Sep 17, 2020",2.1200,2.2000,2.0800,2.1000,"90,000",CBLI
